 INFO  Accepting connections at http://localhost:3004
 HTTP  2/4/2026 5:26:51 AM ::1 GET /
 HTTP  2/4/2026 5:26:51 AM ::1 Returned 200 in 13 ms
 HTTP  2/4/2026 5:26:51 AM ::1 GET /static/js/main.6169ef1e.js
 HTTP  2/4/2026 5:26:51 AM ::1 Returned 200 in 4 ms
 HTTP  2/4/2026 5:26:51 AM ::1 GET /static/css/main.f855e6bc.css
 HTTP  2/4/2026 5:26:51 AM ::1 Returned 200 in 3 ms
 HTTP  2/4/2026 5:26:51 AM ::1 GET /static/media/logo.6ce24c58023cc2f8fd88fe9d219db6c6.svg
 HTTP  2/4/2026 5:26:51 AM ::1 Returned 200 in 1 ms
 HTTP  2/4/2026 5:26:51 AM ::1 GET /favicon.ico
 HTTP  2/4/2026 5:26:51 AM ::1 Returned 200 in 2 ms
