 INFO  Accepting connections at http://localhost:3003
 HTTP  2/4/2026 5:00:26 AM ::1 GET /
 HTTP  2/4/2026 5:00:26 AM ::1 Returned 200 in 13 ms
 HTTP  2/4/2026 5:00:26 AM ::1 GET /static/js/main.9399ce26.js
 HTTP  2/4/2026 5:00:26 AM ::1 Returned 200 in 5 ms
 HTTP  2/4/2026 5:00:26 AM ::1 GET /static/css/main.f855e6bc.css
 HTTP  2/4/2026 5:00:26 AM ::1 Returned 200 in 3 ms
 HTTP  2/4/2026 5:00:26 AM ::1 GET /static/media/logo.6ce24c58023cc2f8fd88fe9d219db6c6.svg
 HTTP  2/4/2026 5:00:26 AM ::1 Returned 200 in 2 ms
 HTTP  2/4/2026 5:00:26 AM ::1 GET /favicon.ico
 HTTP  2/4/2026 5:00:26 AM ::1 Returned 200 in 2 ms
 HTTP  2/4/2026 5:00:29 AM ::1 GET /
 HTTP  2/4/2026 5:00:29 AM ::1 Returned 304 in 2 ms
 HTTP  2/4/2026 5:00:29 AM ::1 GET /static/js/main.9399ce26.js
 HTTP  2/4/2026 5:00:29 AM ::1 Returned 304 in 2 ms
 HTTP  2/4/2026 5:00:29 AM ::1 GET /static/css/main.f855e6bc.css
 HTTP  2/4/2026 5:00:29 AM ::1 Returned 304 in 0 ms
 HTTP  2/4/2026 5:00:29 AM ::1 GET /static/media/logo.6ce24c58023cc2f8fd88fe9d219db6c6.svg
 HTTP  2/4/2026 5:00:29 AM ::1 Returned 304 in 1 ms
 HTTP  2/4/2026 5:00:55 AM ::1 GET /
 HTTP  2/4/2026 5:00:55 AM ::1 Returned 304 in 1 ms
 HTTP  2/4/2026 5:00:56 AM ::1 GET /static/js/main.9399ce26.js
 HTTP  2/4/2026 5:00:56 AM ::1 Returned 304 in 3 ms
 HTTP  2/4/2026 5:00:56 AM ::1 GET /static/css/main.f855e6bc.css
 HTTP  2/4/2026 5:00:56 AM ::1 Returned 304 in 1 ms
 HTTP  2/4/2026 5:00:56 AM ::1 GET /static/media/logo.6ce24c58023cc2f8fd88fe9d219db6c6.svg
 HTTP  2/4/2026 5:00:56 AM ::1 Returned 304 in 1 ms
 HTTP  2/4/2026 5:23:33 AM ::1 GET /sectors/:sectorName
 HTTP  2/4/2026 5:23:33 AM ::1 Returned 200 in 2 ms
 HTTP  2/4/2026 5:23:33 AM ::1 GET /static/js/main.9399ce26.js
 HTTP  2/4/2026 5:23:33 AM ::1 Returned 304 in 2 ms
 HTTP  2/4/2026 5:23:33 AM ::1 GET /static/css/main.f855e6bc.css
 HTTP  2/4/2026 5:23:33 AM ::1 Returned 304 in 1 ms
 HTTP  2/4/2026 5:23:33 AM ::1 GET /static/media/logo.6ce24c58023cc2f8fd88fe9d219db6c6.svg
 HTTP  2/4/2026 5:23:33 AM ::1 Returned 304 in 1 ms
 HTTP  2/4/2026 5:23:37 AM ::1 GET /sectors
 HTTP  2/4/2026 5:23:37 AM ::1 Returned 200 in 1 ms
 HTTP  2/4/2026 5:23:37 AM ::1 GET /static/js/main.9399ce26.js
 HTTP  2/4/2026 5:23:37 AM ::1 GET /static/css/main.f855e6bc.css
 HTTP  2/4/2026 5:23:37 AM ::1 Returned 304 in 1 ms
 HTTP  2/4/2026 5:23:37 AM ::1 Returned 304 in 2 ms
 HTTP  2/4/2026 5:23:37 AM ::1 GET /static/media/logo.6ce24c58023cc2f8fd88fe9d219db6c6.svg
 HTTP  2/4/2026 5:23:37 AM ::1 Returned 304 in 1 ms
 HTTP  2/4/2026 5:23:54 AM ::1 GET /
 HTTP  2/4/2026 5:23:54 AM ::1 Returned 200 in 1 ms
 HTTP  2/4/2026 5:23:54 AM ::1 GET /static/js/main.9399ce26.js
 HTTP  2/4/2026 5:23:54 AM ::1 Returned 304 in 2 ms
 HTTP  2/4/2026 5:23:54 AM ::1 GET /static/css/main.f855e6bc.css
 HTTP  2/4/2026 5:23:54 AM ::1 Returned 304 in 1 ms
 HTTP  2/4/2026 5:23:54 AM ::1 GET /static/media/logo.6ce24c58023cc2f8fd88fe9d219db6c6.svg
 HTTP  2/4/2026 5:23:54 AM ::1 Returned 304 in 1 ms
